97;Tutta la notte;Sangiovanni;Hip-hop/Rap;2021
98;Vent'anni;Maneskin;rock alternativo;2021
99;Las Vegas;Tancredi;Pop;2021
100;Hecha pa' mí;Boza;Pop;2021
101;La dolce vita;Fedez, Tananai e Mara Sattei;Pop;2022
102;Caramello;Rocco Hunt, Elettra Lamborghini, Lola Indigo;Reggaeton;2022
103;Giovani Wannabe;Pinguini Tattici Nucleari;Pop;2022
104;Tribale;Elodie;Pop;2022
105;Tropicana;Boomdabash e Annalisa;Pop;2022
106;Bolero;Baby K feat. Mika;Pop;2022
107;Litoranea;Elisa e Matilda De Angelis;Pop;2022
108;Una ragazza;Malika Ayane;Pop;2022
109;Stelle;Fabri Fibra, Maurizio Carucci;Pop;2022
110;Gasolina;Anna;Pop;2022
111;Shakerando;Rhove;Pop;2022
112;Finimondo;Myss Keta;Pop;2022
113;Extasi;Fred De Palma;Pop;2022
114;About damn time;Lizzo;Pop;2022
115;Don't you worry;Black Eyed Peas, Shakira, David Guetta;Dance;2022
116;As it was;Harry Styles;Indie;2022
117;Provenza;Karol G;Pop;2022
